contaminant,authorization,limit,clean_amount_released,clean_amount_released_float,amount_released,source,event_id,region,date
"1,3-BUTADIENE",No specific authorization,0,14000.0 ,14000.0,14000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,09/08/2017 8:00 AM
Benzene,No specific authorization,0,6500.0 ,6500.0,6500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,09/01/2017 10:30 AM
Butanes,No specific authorization,0,15000.0 ,15000.0,15000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/09/2017 1:55 AM
"Butenes, All Isomers",No specific authorization,0,10000.0 ,10000.0,10000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/06/2017 2:26 PM
Carbon Monoxide,No specific authorization,0,150000.0 ,150000.0,150000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/12/2017 3:21 AM
Ethylbenzene,No specific authorization,0,1500.0 ,1500.0,1500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/05/2017 5:38 PM
Ethylene (gaseous),No specific authorization,0,150000.0 ,150000.0,150000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,09/05/2017 4:40 PM
Isobutylene,No specific authorization,0,3000.0 ,3000.0,3000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/25/2017 11:05 PM
Nitrogen dioxide,No specific authorization,0,4000.0 ,4000.0,4000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/30/2017 9:54 AM
Nitrogen oxide,No specific authorization,0,25000.0 ,25000.0,25000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/31/2017 3:36 AM
Pentanes,No specific authorization,0,10500.0 ,10500.0,10500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,09/03/2017 10:00 PM
Propane,No specific authorization,0,21000.0 ,21000.0,21000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/29/2017 12:01 AM
Propylene,No specific authorization,0,50000.0 ,50000.0,50000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,09/02/2017 5:00 AM
Toluene,No specific authorization,0,2000.0 ,2000.0,2000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/15/2017 8:45 PM
Xylene (mixed isomers),No specific authorization,0,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 10,08/27/2017 4:02 AM
Carbon Monoxide,NSR Permit 20485 and Title V Permit O1327,84.05 LBS/HR,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 10,08/29/2017 11:50 AM
NOX,NSR Permit 20485 and Title V Permit O1327,16.32 LBS/HR,1000.0 ,1000.0,1000.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 10,08/30/2017 1:00 AM
Opacity,NSR Permit 20485 and Title V Permit O1327,0,#VALUE!,#VALUE!,75.0 % op (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 10,08/29/2017 3:19 PM
Carbon Monoxide,Permit 19394,184.7 LBS/HR,1474.0 ,1474.0,1474.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10,#N/A
Ethylene (gaseous),Permit 19394,149.91 LBS/HR,246.0 ,246.0,246.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10,#N/A
Hexene,Permit 19394,149.91 LBS/HR,11.0 ,11.0,11.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10,#N/A
Isobutane,Permit 19394,149.91 LBS/HR,1280.0 ,1280.0,1280.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10,#N/A
Isopentane,Permit 19394,149.91 LBS/HR,449.0 ,449.0,449.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10,#N/A
Nitrous Oxides,Permit 19394,46.38 LBS/HR,435.0 ,435.0,435.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10,#N/A
Sulfur dioxide,Permit 19394,0.48 LBS/HR,0.0267 ,0.0,0.0267 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 10,#N/A
