State,Overall student enrollment,White student enrollment,Black student enrollment,Hispanic student enrollment,Male student enrollment,Female student enrollment,White male student enrollment,White female student enrollment,Black male student enrollment,Black female student enrollment,Hispanic male student enrollment,Hispanic female student enrollment,All students suspended,White students suspended,Black students suspended,Hispanic students suspended,All male students suspended,All female students suspended,All white male students suspended,All white female students suspended,All black male students suspended,All black female students suspended,All hispanic male students suspended,All hispanic female students suspended,All students arrested,White students arrested,Black students arrested,Hispanic students arrested,All male students arrested,All female students arrested,All white male students arrested,All white female students arrested,All black male students arrested,All black female students arrested,All hispanic male students arrested,All hispanic female students arrested
ALABAMA,"746,839","413,544","249,465","50,331","383,784","363,055","213,784","199,760","127,213","122,252","25,861","24,470","61,863","18,232","40,349","1,687","42,262","19,601","13,505","4,727","26,427","13,922","1,191",496,"1,077",311,673,49,711,366,223,88,411,262,43,6
ALASKA,"132,342","62,933","4,268","8,861","68,647","63,695","32,867","30,066","2,166","2,102","4,569","4,292","7,988","2,368",525,550,"5,795","2,193","1,828",540,382,143,389,161,4,2,-,-,2,2,-,2,-,-,-,-
ARIZONA,"1,134,663","448,496","60,378","504,209","581,257","553,406","230,480","218,016","31,364","29,014","257,880","246,329","63,453","18,204","8,383","27,840","45,984","17,469","13,677","4,527","5,840","2,543","20,185","7,655","1,640",420,169,817,"1,142",498,286,134,124,45,572,245
ARKANSAS,"485,821","300,960","98,416","59,587","248,614","237,207","155,061","145,899","49,491","48,925","30,508","29,079","34,367","13,791","16,211","2,688","23,884","10,483","10,273","3,518","10,436","5,775","1,947",741,751,320,257,136,547,204,239,81,179,78,109,27
CALIFORNIA,"6,282,366","1,509,452","366,368","3,382,795","3,229,173","3,053,193","782,201","727,251","188,105","178,263","1,731,392","1,651,403","242,257","50,838","41,740","122,187","176,059","66,198","38,687","12,151","28,307","13,433","88,658","33,529","3,424",598,659,"1,798","2,520",904,453,145,465,194,"1,327",471
COLORADO,"901,978","486,799","42,034","300,253","463,227","438,751","251,675","235,124","21,752","20,282","153,509","146,744","45,325","17,808","5,073","18,435","32,424","12,901","13,359","4,449","3,505","1,568","12,696","5,739",347,132,46,135,271,76,110,22,40,6,101,34
CONNECTICUT,"537,516","300,059","69,011","123,412","276,808","260,708","155,066","144,993","35,725","33,286","63,394","60,018","22,087","5,401","7,515","8,009","14,825","7,262","3,989","1,412","4,851","2,664","5,160","2,849","1,752",513,486,649,"1,233",519,393,120,321,165,445,204
DELAWARE,"139,175","63,419","43,316","22,083","72,073","67,102","33,008","30,411","22,518","20,798","11,340","10,743","12,721","3,099","7,307","1,624","8,322","4,399","2,183",916,"4,615","2,692","1,081",543,465,158,229,56,303,162,111,47,146,83,36,20
DISTRICT OF COLUMBIA,"82,585","8,483","58,134","12,752","41,690","40,895","4,340","4,143","29,195","28,939","6,547","6,205","7,464",85,"6,802",469,"4,647","2,817",69,16,"4,176","2,626",328,141,169,-,156,13,89,80,-,-,78,78,11,2
FLORIDA,"2,784,084","1,094,215","627,317","878,893","1,429,722","1,354,362","563,637","530,578","321,321","305,996","451,673","427,220","160,258","48,326","66,736","34,923","110,306","49,952","35,445","12,881","43,371","23,365","24,352","10,571","1,925",522,842,455,"1,314",611,348,174,569,273,331,124
GEORGIA,"1,769,640","724,613","653,696","256,777","906,392","863,248","374,076","350,537","332,164","321,532","131,936","124,841","132,928","26,850","86,629","12,251","90,992","41,936","19,991","6,859","57,094","29,535","8,769","3,482","3,980",980,"2,339",440,"2,761","1,219",699,281,"1,577",762,326,114
HAWAII,"182,913","23,452","3,624","21,996","95,408","87,505","12,357","11,095","1,796","1,828","11,293","10,703","7,300",767,198,819,"5,149","2,151",582,185,143,55,529,290,672,77,14,62,483,189,55,22,8,6,40,22
IDAHO,"297,049","224,927","3,406","50,982","152,898","144,151","116,074","108,853","1,755","1,651","26,067","24,915","7,054","4,719",187,"1,489","5,445","1,609","3,700","1,019",141,46,"1,090",399,138,96,2,26,104,34,70,26,2,-,20,6
ILLINOIS,"2,032,308","989,602","351,582","517,587","1,044,673","987,635","512,150","477,452","178,121","173,461","265,785","251,802","90,993","25,710","41,834","17,521","61,047","29,946","19,001","6,709","25,790","16,044","12,105","5,416","3,617","1,056","1,471",854,"2,417","1,200",731,325,914,557,608,246
INDIANA,"1,034,752","718,999","126,649","114,170","531,727","503,025","370,933","348,066","64,580","62,069","58,420","55,750","66,662","30,261","23,748","7,043","46,389","20,273","22,276","7,985","15,289","8,459","4,928","2,115","1,874","1,025",477,161,"1,251",623,708,317,303,174,101,60
IOWA,"503,130","388,806","28,891","51,398","259,455","243,675","200,868","187,938","15,005","13,886","26,282","25,116","16,270","8,977","3,620","1,988","11,614","4,656","6,709","2,268","2,376","1,244","1,366",622,"1,230",658,354,113,793,437,438,220,207,147,89,24
KANSAS,"492,837","318,823","35,596","92,891","253,510","239,327","164,431","154,392","18,311","17,285","47,773","45,118","23,889","10,495","5,893","4,725","17,265","6,624","8,009","2,486","3,879","2,014","3,408","1,317",521,268,103,85,382,139,208,60,76,27,53,32
KENTUCKY,"689,683","537,897","73,139","41,256","355,266","334,417","277,858","260,039","37,476","35,663","21,360","19,896","36,513","21,882","10,441","1,881","25,525","10,988","15,730","6,152","6,777","3,664","1,366",515,451,238,169,18,304,147,172,66,108,61,12,6
LOUISIANA,"723,781","329,745","318,437","42,826","371,132","352,649","170,069","159,676","162,335","156,102","22,022","20,804","62,598","16,792","41,015","2,426","42,242","20,356","12,549","4,243","26,295","14,720","1,731",695,"1,147",226,833,54,666,481,158,68,451,382,31,23
MAINE,"178,460","160,303","6,260","3,626","92,234","86,226","83,073","77,230","3,226","3,034","1,833","1,793","6,807","5,707",526,196,"5,018","1,789","4,210","1,497",382,144,146,50,56,52,-,-,36,20,34,18,-,-,-,-
MARYLAND,"895,281","343,891","310,666","141,359","459,723","435,558","176,837","167,054","159,078","151,588","73,101","68,258","37,976","8,421","22,815","3,953","25,518","12,458","6,164","2,257","14,639","8,176","2,759","1,194","2,136",568,"1,212",197,"1,407",729,385,183,772,440,143,54
MASSACHUSETTS,"954,716","595,406","84,428","171,257","490,844","463,872","305,297","290,109","43,498","40,930","88,051","83,206","34,295","12,797","7,250","11,431","24,108","10,187","9,406","3,391","4,979","2,271","7,679","3,752",343,107,66,156,223,120,68,39,44,22,99,57
MICHIGAN,"1,550,246","1,042,226","279,151","112,025","797,864","752,382","538,447","503,779","142,907","136,244","57,337","54,688","119,549","49,089","54,013","8,659","82,279","37,270","36,500","12,589","34,321","19,692","5,969","2,690",699,270,319,66,442,257,198,72,163,156,51,15
MINNESOTA,"883,191","604,136","92,480","76,939","453,393","429,798","310,689","293,447","47,466","45,014","39,471","37,468","36,391","13,826","13,035","4,165","25,446","10,945","10,388","3,438","8,456","4,579","2,950","1,215","1,197",620,317,121,802,395,443,177,206,111,78,43
MISSISSIPPI,"492,340","218,663","244,158","18,321","251,949","240,391","112,508","106,155","124,320","119,838","9,501","8,820","50,067","10,740","37,654",988,"33,580","16,487","7,992","2,748","24,381","13,273",723,265,793,262,497,22,536,257,183,79,335,162,12,10
MISSOURI,"932,436","672,525","149,085","54,694","481,327","451,109","348,588","323,937","76,228","72,857","28,133","26,561","55,791","25,127","24,493","2,931","39,255","16,536","19,117","6,010","15,619","8,874","2,167",764,"1,487",712,653,48,"1,066",421,537,175,441,212,32,16
MONTANA,"148,318","116,826","1,530","6,116","76,322","71,996","60,204","56,622",813,717,"3,153","2,963","6,361","3,381",144,314,"4,544","1,817","2,568",813,120,24,231,83,326,164,2,11,205,121,124,40,2,-,7,4
NEBRASKA,"318,350","213,957","22,184","57,313","164,869","153,481","111,008","102,949","11,616","10,568","29,645","27,668","14,826","6,539","3,607","2,854","10,544","4,282","4,955","1,584","2,339","1,268","2,024",830,207,116,24,47,150,57,78,38,22,2,36,11
NEVADA,"471,356","160,208","49,346","196,018","243,315","228,041","83,480","76,728","25,672","23,674","100,433","95,585","36,303","8,099","9,837","13,913","24,597","11,706","5,911","2,188","6,398","3,439","9,298","4,615","1,194",356,242,442,796,398,253,103,174,68,281,161
NEW HAMPSHIRE,"183,397","157,833","3,707","9,898","94,572","88,825","81,495","76,338","1,908","1,799","5,199","4,699","8,373","6,347",536,"1,036","6,052","2,321","4,673","1,674",359,177,707,329,220,184,20,6,160,60,138,46,14,6,2,4
NEW JERSEY,"1,373,188","638,535","217,895","348,714","705,181","668,007","329,527","309,008","111,103","106,792","178,660","170,054","62,346","14,119","26,276","18,823","42,585","19,761","10,508","3,611","16,909","9,367","12,905","5,918","1,379",363,524,420,887,492,248,115,322,202,277,143
NEW MEXICO,"340,244","80,385","6,943","207,169","174,052","166,192","41,396","38,989","3,667","3,276","105,802","101,367","17,062","3,131",820,"10,253","11,850","5,212","2,312",819,565,255,"7,035","3,218",188,45,2,101,121,67,30,15,-,2,61,40
NEW YORK,"2,731,958","1,222,743","480,513","703,350","1,405,567","1,326,391","631,041","591,702","246,337","234,176","361,024","342,326","94,648","34,559","34,927","19,110","64,711","29,937","25,312","9,247","22,188","12,739","12,867","6,243",849,410,291,112,614,235,314,96,198,93,76,36
NORTH CAROLINA,"1,554,493","768,479","399,797","252,554","798,731","755,762","397,363","371,116","204,453","195,344","129,367","123,187","118,485","33,983","58,775","14,617","82,642","35,843","25,452","8,531","38,914","19,861","10,563","4,054",604,122,369,73,435,169,97,25,261,108,51,22
NORTH DAKOTA,"111,077","86,707","5,333","4,798","57,277","53,800","44,711","41,996","2,800","2,533","2,472","2,326","2,838","1,539",301,156,"2,008",830,"1,149",390,212,89,113,43,200,107,26,14,139,61,80,27,16,10,8,6
OHIO,"1,760,243","1,260,972","282,590","89,017","905,751","854,492","651,603","609,369","144,388","138,202","45,631","43,386","127,125","52,176","56,382","7,511","87,482","39,643","38,432","13,744","36,212","20,170","5,254","2,257",967,515,336,52,661,306,357,158,229,107,34,18
OKLAHOMA,"697,577","349,490","62,302","110,406","357,485","340,092","180,055","169,435","31,669","30,633","56,331","54,075","44,057","16,903","10,853","6,466","31,295","12,762","12,459","4,444","7,180","3,673","4,638","1,828","1,054",431,241,101,734,320,311,120,165,76,71,30
OREGON,"575,015","362,586","13,904","129,073","295,932","279,083","187,325","175,261","7,265","6,639","66,266","62,807","23,981","13,388","1,417","5,793","17,618","6,363","9,950","3,438",998,419,"4,238","1,555",203,126,4,55,156,47,104,22,4,-,34,21
PENNSYLVANIA,"1,728,394","1,163,331","256,296","179,516","888,911","839,483","600,203","563,128","130,664","125,632","92,406","87,110","103,657","35,849","44,182","16,638","70,043","33,614","26,324","9,525","27,733","16,449","11,153","5,485","5,647","2,347","2,025",910,"3,778","1,869","1,665",682,"1,257",768,613,297
RHODE ISLAND,"141,895","84,048","11,954","34,045","73,124","68,771","43,367","40,681","6,138","5,816","17,576","16,469","7,477","2,895","1,244","2,471","5,121","2,356","2,072",823,811,433,"1,663",808,231,58,54,83,166,65,42,16,40,14,50,33
SOUTH CAROLINA,"767,540","395,019","264,534","64,349","393,951","373,589","203,647","191,372","134,933","129,601","33,380","30,969","80,847","24,681","47,769","4,254","54,449","26,398","17,619","7,062","30,993","16,776","3,022","1,232","2,046",692,"1,197",68,"1,321",725,473,219,736,461,53,15
SOUTH DAKOTA,"137,870","103,675","4,111","7,117","71,179","66,691","53,579","50,096","2,155","1,956","3,755","3,362","4,833","2,213",355,369,"3,498","1,335","1,669",544,272,83,266,103,270,109,2,18,161,109,69,40,2,-,10,8
TENNESSEE,"1,000,786","640,806","225,528","89,850","514,152","486,634","330,932","309,874","114,643","110,885","46,332","43,518","74,858","24,841","43,015","4,608","50,688","24,170","18,226","6,615","27,552","15,463","3,223","1,385","1,464",730,605,89,"1,018",446,522,208,401,204,65,24
TEXAS,"5,312,904","1,509,109","665,870","2,776,562","2,726,246","2,586,658","780,133","728,976","341,476","324,394","1,420,059","1,356,503","257,376","40,385","82,688","123,597","177,155","80,221","30,283","10,102","53,854","28,834","85,290","38,307","8,920","1,237","2,459","4,949","6,352","2,568",901,336,"1,692",767,"3,578","1,371"
UTAH,"665,998","503,479","9,452","107,639","342,881","323,117","259,385","244,094","4,992","4,460","55,182","52,457","11,491","6,569",604,"3,244","8,621","2,870","5,060","1,509",480,124,"2,303",941,137,97,6,30,121,16,83,14,6,-,28,2
VERMONT,"83,429","74,909","2,112","1,477","43,107","40,322","38,770","36,139","1,095","1,017",779,698,"3,077","2,605",231,66,"2,201",876,"1,897",708,156,75,53,13,61,53,8,-,45,16,39,14,6,2,-,-
VIRGINIA,"1,287,082","648,771","294,587","184,956","662,620","624,462","336,012","312,759","150,493","144,094","95,597","89,359","77,998","23,840","40,204","7,918","54,194","23,804","17,727","6,113","26,555","13,649","5,641","2,277",542,208,200,90,405,137,160,48,150,50,63,27
WASHINGTON,"1,097,426","610,441","49,222","247,597","565,284","532,142","315,676","294,765","25,411","23,811","127,008","120,589","49,865","22,233","5,302","12,861","36,665","13,200","16,828","5,405","3,745","1,557","9,295","3,566","1,125",596,22,413,763,362,417,179,18,4,264,149
WEST VIRGINIA,"279,536","252,501","12,531","4,581","144,462","135,074","130,429","122,072","6,609","5,922","2,348","2,233","23,156","19,518","2,385",358,"16,576","6,580","14,039","5,479","1,652",733,243,115,109,74,27,2,75,34,53,21,16,11,-,2
WISCONSIN,"870,953","616,934","82,492","98,585","448,484","422,469","318,764","298,170","42,555","39,937","50,626","47,959","40,964","15,755","15,769","5,263","28,057","12,907","11,862","3,893","9,725","6,044","3,623","1,640","2,001",995,623,186,"1,306",695,690,305,376,247,115,71
WYOMING,"95,315","74,312","1,211","12,821","49,160","46,155","38,381","35,931",660,551,"6,588","6,233","3,703","2,404",102,649,"2,806",897,"1,834",570,86,16,485,164,56,32,-,6,38,18,26,6,-,-,4,2
